filename,condition,subject,band,wasserstein_h0,wasserstein_h1,n_windows,tau,corr_mean_persistence_r,corr_mean_persistence_p,corr_total_persistence_r,corr_total_persistence_p,corr_persistence_entropy_r,corr_persistence_entropy_p,corr_max_persistence_r,corr_max_persistence_p,corr_n_features_r,corr_n_features_p
bb51_ut16.mat,fast,bb51,alpha,15.898022687137814,1.181568273298045,15,6,-0.05357142857142857,0.8496099367776071,-0.4071428571428571,0.13201266377985377,0.024999999999999998,0.9295289708192378,0.25,0.36884629178393047,0.031879523289258575,0.910201085496041
bb51_ut16.mat,fast,bb51,beta,13.852505478340865,1.1189862961995005,15,3,0.0035714285714285704,0.9899214068809781,-0.28571428571428564,0.3019363513225493,0.2785714285714285,0.3147094732307908,-0.13928571428571426,0.6205460876279014,0.22950857745788472,0.4105998022768519
bb51_ut16.mat,fast,bb51,gamma,15.964688119895474,0.9255056636564295,15,2,-0.017857142857142853,0.9496353041738621,0.3321428571428571,0.2264717590707243,-0.4464285714285714,0.09529321315352625,-0.5249999999999999,0.04448390580010643,0.10526385133249265,0.7088829691054719
bb51_ut20.mat,fast,bb51,delta,16.23860866320265,1.0192468859168915,15,27,0.3607142857142856,0.18655437415416354,0.08214285714285713,0.7710285652881772,-0.23235040555905026,0.40466697905310256,-0.039285714285714285,0.8894459296739485,0.5555793720542078,0.03153643905833687
bb51_ut20.mat,fast,bb51,theta,16.578811738774196,1.622481210835862,15,10,0.35,0.2009453508162933,0.2285714285714285,0.41256617049636035,-0.15714285714285714,0.5759526006037947,-0.2285714285714285,0.41256617049636035,-0.00724648383158094,0.979551869027619
bb51_ut20.mat,fast,bb51,alpha,15.131319289443638,1.210879105357045,15,6,0.07857142857142857,0.7807545523090466,0.06785714285714285,0.8101088187105131,-0.5714285714285713,0.02606319337636288,-0.3142857142857143,0.2539400163236714,-0.15162553679854315,0.589588082954701
bb51_ut20.mat,fast,bb51,beta,12.559516540613659,0.9783724611774023,15,4,0.2714285714285714,0.3277893068411727,0.18214285714285713,0.5158816817070392,0.23571428571428568,0.3977029459032728,0.6749999999999999,0.00576349921805083,0.2243460420619821,0.42149270659827043
bb51_ut20.mat,fast,bb51,gamma,15.91014922456444,0.960108297774297,15,2,-0.04285714285714285,0.8794603130258999,0.4392857142857142,0.10136057119347243,-0.021428571428571425,0.9395779040128779,-0.0964285714285714,0.7324528633867308,0.046449320338998235,0.8694336617926766
bb51_ut22.mat,fast,bb51,delta,14.832544211606457,0.8072125478266401,15,82,-0.007747516350666291,0.9781383563502524,-0.04067446084099803,0.8855611206531764,-0.3092947870658709,0.26196543825171664,0.10846522890932808,0.7004015585388947,0.05659684799706785,0.8412135352912891
bb51_ut22.mat,fast,bb51,theta,16.55728604269515,1.4943700781481588,15,11,0.33571428571428563,0.22121153763932594,-0.2714285714285714,0.3277893068411727,-0.35357142857142854,0.19607167843419876,-0.06785714285714285,0.8101088187105131,-0.2913673777360342,0.2920458615647336
bb51_ut22.mat,fast,bb51,alpha,16.301788279978712,1.2976327562787031,15,7,0.36428571428571427,0.18191025904581395,-0.049999999999999996,0.859540943467457,0.05714285714285713,0.8396998687415758,0.07857142857142857,0.7807545523090466,0.39838194853911424,0.14135278911293336
bb51_ut22.mat,fast,bb51,beta,14.031127616094036,1.0910012658631674,15,3,0.15,0.5936302027425882,-0.1357142857142857,0.6296204418728145,-0.11785714285714284,0.6757115292213043,0.3071428571428571,0.2654726857102779,-0.01722581167515274,0.9514139527992829
bb51_ut22.mat,fast,bb51,gamma,16.882868682177676,0.9964865547771434,15,2,0.14285714285714282,0.6115222287644655,-0.12857142857142856,0.6479163294665075,0.3142857142857143,0.2539400163236714,0.0,1.0,0.10354432710553022,0.7134517092413906
bb52_ut01.mat,fast,bb52,delta,9.504047281741906,0.7970572976513958,15,47,0.36559374619365353,0.18022838723462972,0.6881764634233478,0.004564816027832054,0.06823827800460687,0.8090603368926181,0.45520005653523526,0.08819765019576775,0.012904459063491405,0.9635938021283783
bb52_ut01.mat,fast,bb52,theta,11.820819983420256,1.4941655160540173,15,11,0.2964285714285714,0.28335542843426287,0.23928571428571427,0.39037931192023567,0.09285714285714285,0.742045009907367,0.25,0.36884629178393047,0.27354271091023985,0.32388610510886706
bb52_ut01.mat,fast,bb52,alpha,10.032847595981956,1.0514944348640818,15,7,-0.035714285714285705,0.8994469934720875,0.37499999999999994,0.16843274984674558,0.5290440003498376,0.04257772247555204,0.4035714285714285,0.13576799650365623,-0.2493201387299412,0.3701929677088486
bb52_ut01.mat,fast,bb52,beta,8.995591994845945,0.8319001206036288,15,4,0.5964285714285712,0.018931924687865177,0.44999999999999996,0.09235737494812256,0.18409301363524752,0.5113195510598074,0.36428571428571427,0.18191025904581395,0.054745345902493386,0.8463501520777081
bb52_ut01.mat,fast,bb52,gamma,15.050736708403583,0.9682118188025283,15,2,-0.10357142857142855,0.7133796306287292,-0.11071428571428568,0.6944626472070963,0.3857142857142856,0.1556307945859602,0.22142857142857136,0.42771371901637,-0.2520326231579913,0.3648360648615109
bb52_ut02.mat,fast,bb52,delta,6.942102964420868,0.6627186405777686,15,82,0.17860216733627615,0.5242117774682886,-0.1509613557247096,0.5912383121274409,-0.6331146833663363,0.011292680698242713,-0.3125537928384832,0.25670770948440225,0.03710923637872874,0.8955389661401978
bb52_ut02.mat,fast,bb52,theta,10.808557292437303,1.361721114145019,15,12,-0.21071428571428572,0.450957865215285,0.035714285714285705,0.8994469934720875,-0.29311897316680185,0.28902063769561986,0.16428571428571426,0.5584973732486012,-0.3427131314274808,0.21112815135803273
bb52_ut02.mat,fast,bb52,alpha,11.155652888516782,1.031384434810992,15,7,0.25,0.36884629178393047,-0.0035714285714285704,0.9899214068809781,0.1899653779241533,0.49769487385045585,0.16785714285714282,0.5498555542278019,0.240072202166065,0.38877627179861873
bb52_ut02.mat,fast,bb52,beta,10.304677881492315,0.823513057780827,15,4,-0.5035714285714286,0.05565451716115848,-0.22499999999999998,0.420104686907635,0.39999999999999997,0.13959512937214466,0.20357142857142854,0.46679507248911234,0.05678808258425382,0.8406833287726048
bb52_ut02.mat,fast,bb52,gamma,20.38785220320711,1.0558910873946021,15,2,-0.15,0.5936302027425882,-0.08928571428571427,0.751672517350277,0.010714285714285713,0.9697698761545686,-0.13214285714285715,0.6387442188840665,-0.017985640600989762,0.9492733143952582
bb52_ut03.mat,fast,bb52,delta,9.385418374924239,0.8401927598761599,15,43,-0.15907066226734978,0.5712193276333668,-0.3806972029544439,0.16154194026718457,0.07360140533132976,0.7943393630131601,-0.2984809056027799,0.27987580738001927,0.26021233594417603,0.348942009146898
bb52_ut03.mat,fast,bb52,theta,8.991064244998116,1.323352411687174,15,10,0.48571428571428565,0.06642631232518958,0.11428571428571425,0.6850657626568972,0.2678571428571428,0.3344436005123538,0.2714285714285714,0.3277893068411727,0.034581025563934026,0.9026234640747557
bb52_ut03.mat,fast,bb52,alpha,8.23473772622535,1.1822632810902853,15,7,0.18928571428571428,0.49926303323854526,0.11428571428571425,0.6850657626568972,-0.2688189310247452,0.33264411774644986,-0.18214285714285713,0.5158816817070392,-0.07518424379832636,0.7900067671093977
bb52_ut03.mat,fast,bb52,beta,6.590325567257332,0.9586445006567078,15,3,0.039285714285714285,0.8894459296739485,-0.10714285714285714,0.7039010016261615,-0.14911555832792814,0.5958341594893388,-0.10714285714285714,0.7039010016261615,0.09133836340341053,0.7461349383555524
